name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
"Oh, God! Book II",PG,Comedy,1980,"October 3, 1980",0.44594594594594594,0.0008604292145927129,Gilbert Cates,Josh Greenfeld,George Burns,United States,0.10031968594957656,0.0050940342141029,Warner Bros.,0.1023102310231023
"Those Lips, Those Eyes",R,Comedy,1980,"August 15, 1980",0.6216216216216216,9.750142189573599e-05,Michael Pressman,David Shaber,Frank Langella,United States,0.10031968594957656,0.00028252003161901825,Herb Jaffe,0.13861386138613865
La Cage aux Folles II,R,Comedy,1980,"February 15, 1981",0.527027027027027,0.0007770946659638786,Édouard Molinaro,Jean Poiret,Michel Serrault,France,0.10031968594957656,0.0024408906918244556,Da.Ma. Cinematografica,0.12871287128712874
The Gong Show Movie,R,Comedy,1980,"May 23, 1980",0.32432432432432423,0.0002937542839166405,Chuck Barris,Chuck Barris,Chuck Barris,United States,0.10031968594957656,0.0023254791635498977,Chuck Barris Productions,0.08580858085808582
Gilda Live,R,Comedy,1980,"March 28, 1980",0.6621621621621621,0.0002350034271333124,Mike Nichols,Anne Beatts,Gilda Radner,United States,0.10031968594957656,0.0007941702558128265,Broadway Productions,0.10891089108910892
Why Would I Lie?,PG,Comedy,1980,"August 8, 1980",0.6216216216216216,7.333440279337407e-05,Larry Peerce,Hollis Hodges,Treat Williams,United States,0.10031968594957656,0.0004128712600752985,Metro-Goldwyn-Mayer (MGM),0.13861386138613865
First Family,R,Comedy,1980,"December 25, 1980",0.32432432432432423,0.00023250339067444733,Buck Henry,Buck Henry,Bob Newhart,United States,0.10031968594957656,0.005338001551614495,F.F. Associates,0.11221122112211221
Indiana Jones and the Raiders of the Lost Ark,PG,Action,1981,"June 12, 1981",0.8783783783783784,0.3770742489994646,Steven Spielberg,Lawrence Kasdan,Harrison Ford,United States,0.05055379680165844,0.13694836221265264,Paramount Pictures,0.1716171617161716
Body Heat,R,Crime,1981,"August 28, 1981",0.7432432432432432,0.013318944234603421,Lawrence Kasdan,Lawrence Kasdan,William Hurt,United States,0.10031968594957656,0.00844975456833515,The Ladd Company,0.16501650165016504
An American Werewolf in London,R,Comedy,1981,"August 21, 1981",0.7567567567567567,0.040402672538974525,John Landis,John Landis,David Naughton,United Kingdom,0.028081697317674025,0.010771485899629854,Polygram Pictures,0.11221122112211221
