name,rating,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Western,release_month,release_quarter,is_sequel
Journey 2: The Mysterious Island,2,2012,2012-02-10,0.527027027027027,0.0399859997958303,Brad Peyton,Brian Gunn,Josh Hutcherson,0.7190388170055453,0.2219035553670396,0.1177488680224258,0.02284129918141,0.1023102310231023,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,1,1
Cannonball Run II,2,1984,1984-06-29,0.4324324324324324,0.0062355076011525,Hal Needham,Brock Yates,Burt Reynolds,0.0056773171375759,0.0561718216726545,0.009861376588221,0.0001320306311064,0.1485148514851485,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,2,1
A Man Called Ove,6,2015,2016-09-30,0.7837837837837839,0.0208190536111984,Hannes Holm,Hannes Holm,Rolf Lassgård,0.003168735146554,0.1003196859495765,0.0107797433529286,0.0002640612622128,0.1749174917491749,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9,3,0
My Stepmother Is an Alien,6,1988,1988-12-09,0.472972972972973,0.0104022350325942,Richard Benjamin,Jerico Stone,Dan Aykroyd,0.7190388170055453,0.0561718216726545,0.0048656461421873,0.000660153155532,0.1386138613861386,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,12,4,0
Endangered Species,8,1982,1982-09-10,0.5405405405405405,0.0003662553412237,Alan Rudolph,Judd Klinger,Robert Urich,0.7190388170055453,0.1003196859495765,0.0005176721838833,0.0002640612622128,0.1122112211221122,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9,3,0
Death Becomes Her,6,1992,1992-07-31,0.635135135135135,0.0449860727135604,Robert Zemeckis,Martin Donovan,Meryl Streep,0.7190388170055453,0.1544872569150863,0.0523391187652723,0.049775547927119,0.1353135313531353,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7,3,0
The Princess Diaries,0,2001,2001-08-03,0.6081081081081081,0.0554028912921646,Garry Marshall,Meg Cabot,Julie Andrews,0.7190388170055453,0.0730258962856428,0.0580683404789203,0.0162397676260892,0.1584158415841584,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8,3,0
Freaky Friday,2,2003,2003-08-06,0.5810810810810811,0.0537362003195879,Mark Waters,Mary Rodgers,Jamie Lee Curtis,0.7190388170055453,0.0561718216726545,0.0564917920643772,0.0001320306311064,0.1122112211221122,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8,3,0
A Walk in the Woods,8,2015,2015-09-02,0.6081081081081081,0.0108189077757383,Ken Kwapis,Michael Arndt,Robert Redford,0.7190388170055453,0.0224636724466779,0.0131569124672166,0.0002640612622128,0.1353135313531353,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,3,0
The Lazarus Effect,6,2015,2015-02-27,0.4459459459459459,0.0174856716660451,David Gelb,Luke Dawson,Olivia Wilde,0.7190388170055453,0.009261313999837,0.0134714683690751,0.0014523369421705,0.066006600660066,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2,1,0
